"Country","Variable","Count","Percentage","Min_Z_Score","Max_Z_Score","Pooled_Count","Pooled_Percentage","Pooled_SE","Min_Z","Max_Z","Percentage_Diff"
"CHE","ANXMAT",0,0,NA,NA,0,0,0,Inf,-Inf,0
"CHE","DISCLIM",0,0,NA,NA,0,0,0,Inf,-Inf,0
"CHE","ESCS",53,0.80351728320194,-4.56884092397874,-3.03231392979351,57.43,0.840972323912725,0.114092954452371,3.00002888995622,4.54458739300538,0.0374550407107848
"CHE","GROSAGR",178,2.94360840085993,-3.67166308451916,3.38498423636518,265.34,3.88548835847123,0.273842480684049,3.14686757277818,3.48603634487359,0.941879957611295
"CHE","MATHEFF",24,0.442722744881018,-3.05220728468305,-3.00019992031488,107.64,1.57621906574901,0.152031036735622,3.0006211542759,3.23178149726467,1.13349632086799
"CHE","MATHPERS",24,0.458540313335881,-3.33805134757558,3.08251351145899,60.56,0.886806267389076,0.182810513023047,3.00003740889225,3.47494124769336,0.428265954053195
"CHE","RELATST",19,0.286144578313253,-5.98900021122252,-3.23760480641278,19.12,0.279982427881095,0.0641211564660403,3.21373883859536,5.99516521312285,-0.00616215043215768
"DNK","ANXMAT",0,0,NA,NA,0,0,0,Inf,-Inf,0
"DNK","DISCLIM",95,1.70220390611002,-3.16414473778709,-3.01809600380588,79.29,1.27887096774194,0.150981504865898,3.00001099204869,3.13546196840072,-0.423332938368081
"DNK","ESCS",47,0.795531482735274,-7.91389535106183,-3.00955603705249,49.09,0.791774193548387,0.114778587823803,3.00012057462275,7.92606768439014,-0.00375728918688711
"DNK","GROSAGR",84,1.55988857938719,-4.42400171275304,-4.42400171275304,130.87,2.1108064516129,0.225214904633676,4.03106956404756,4.29271439373666,0.550917872225717
"DNK","MATHEFF",0,0,NA,NA,0,0,0,Inf,-Inf,0
"DNK","MATHPERS",53,1.09368551382584,-3.55909026875256,-3.0152843131526,58.29,0.940161290322581,0.12554119207954,3.0002306671986,3.67760555796502,-0.153524223503255
"DNK","RELATST",10,0.175469380593087,-10.3195529857643,-3.1338797524039,10.04,0.161935483870968,0.0511646645997232,3.08691558782862,10.3367575917609,-0.0135338967221188
"FIN","ANXMAT",0,0,NA,NA,0,0,0,Inf,-Inf,0
"FIN","DISCLIM",0,0,NA,NA,0,0,0,Inf,-Inf,0
"FIN","ESCS",71,0.714933037961937,-8.20964599256967,5.51301091880401,69.75,0.681218869030179,0.0844170639953723,3.00000763378248,8.18933605970245,-0.0337141689317587
"FIN","GROSAGR",280,3.10008857395926,-3.75858089790416,3.44522751496506,380.16,3.71286258423674,0.210745946015802,3.26703283180149,3.65940048768581,0.612774010277486
"FIN","MATHEFF",0,0,NA,NA,0,0,0,Inf,-Inf,0
"FIN","MATHPERS",34,0.398873768183951,-3.22889288449481,3.05569584778273,58.73,0.573591171012794,0.0818908792005789,3.00004586544932,3.3190600685877,0.174717402828843
"FIN","RELATST",111,1.13613101330604,-4.87528983089724,3.29472275530226,118.83,1.16056255493701,0.121068446294413,3.00009017177326,4.88810827840099,0.0244315416309666
"NOR","ANXMAT",0,0,NA,NA,0,0,0,Inf,-Inf,0
"NOR","DISCLIM",0,0,NA,NA,0,0,0,Inf,-Inf,0
"NOR","ESCS",64,1.03059581320451,-8.47436846271331,5.48255656692744,70.11,1.0605052185751,0.128837491581981,3.00088457876657,8.47854763592346,0.0299094053705931
"NOR","GROSAGR",201,3.47270214236351,-3.57127979376683,-3.5624391129483,299.47,4.52987445167146,0.298540691398735,3.23990940530064,3.41856069123404,1.05717230930795
"NOR","MATHEFF",0,0,NA,NA,0,0,0,Inf,-Inf,0
"NOR","MATHPERS",7,0.128700128700129,-3.08605701995159,-3.01835520019323,9.32,0.140977159279988,0.0489860458360929,3.00017949772546,3.20119220696033,0.0122770305798592
"NOR","RELATST",34,0.55230669265757,-5.93823648714712,-3.00294666731859,33.69,0.509605203448797,0.0882823274834149,3.00034015094907,5.95917296015389,-0.0427014892087724
"SWE","ANXMAT",0,0,NA,NA,0,0,0,Inf,-Inf,0
"SWE","DISCLIM",0,0,NA,NA,0,0,0,Inf,-Inf,0
"SWE","ESCS",51,0.866757307953773,-6.60291304606717,5.26503669979795,53.52,0.881422924901186,0.123148503015095,3.00068509289394,6.6011558155464,0.0146656169474128
"SWE","GROSAGR",89,1.58843476708906,-4.34046550499272,3.18485728275179,128.01,2.10820158102767,0.20832041726196,3.000265219086,4.1562115426966,0.519766813938609
"SWE","MATHEFF",0,0,NA,NA,0,0,0,Inf,-Inf,0
"SWE","MATHPERS",24,0.455580865603645,-3.31401335842231,-3.0043821228922,28.67,0.472167325428195,0.0939374912059387,3.000016982135,3.36395219806047,0.0165864598245504
"SWE","RELATST",22,0.376390076988879,-4.79400292250909,-3.23240259313261,22.01,0.362483530961792,0.0771417831981074,3.21018316581368,4.79340466464069,-0.0139065460270876
