"Country","Variable","Count","Percentage","Min_Z_Score","Max_Z_Score"
"NOR","ANXMAT",0,0,NA,NA
"NOR","MATHPERS",7,0.128700128700129,-3.08605701995159,-3.01835520019323
"NOR","MATHEFF",0,0,NA,NA
"NOR","DISCLIM",0,0,NA,NA
"NOR","GROSAGR",201,3.47270214236351,-3.57127979376683,-3.5624391129483
"NOR","RELATST",34,0.55230669265757,-5.93823648714712,-3.00294666731859
"NOR","ESCS",64,1.03059581320451,-8.47436846271331,5.48255656692744
"SWE","ANXMAT",0,0,NA,NA
"SWE","MATHPERS",24,0.455580865603645,-3.31401335842231,-3.0043821228922
"SWE","MATHEFF",0,0,NA,NA
"SWE","DISCLIM",0,0,NA,NA
"SWE","GROSAGR",89,1.58843476708906,-4.34046550499272,3.18485728275179
"SWE","RELATST",22,0.376390076988879,-4.79400292250909,-3.23240259313261
"SWE","ESCS",51,0.866757307953773,-6.60291304606717,5.26503669979795
"DNK","ANXMAT",0,0,NA,NA
"DNK","MATHPERS",53,1.09368551382584,-3.55909026875256,-3.0152843131526
"DNK","MATHEFF",0,0,NA,NA
"DNK","DISCLIM",95,1.70220390611002,-3.16414473778709,-3.01809600380588
"DNK","GROSAGR",84,1.55988857938719,-4.42400171275304,-4.42400171275304
"DNK","RELATST",10,0.175469380593087,-10.3195529857643,-3.1338797524039
"DNK","ESCS",47,0.795531482735274,-7.91389535106183,-3.00955603705249
"FIN","ANXMAT",0,0,NA,NA
"FIN","MATHPERS",34,0.398873768183951,-3.22889288449481,3.05569584778273
"FIN","MATHEFF",0,0,NA,NA
"FIN","DISCLIM",0,0,NA,NA
"FIN","GROSAGR",280,3.10008857395926,-3.75858089790416,3.44522751496506
"FIN","RELATST",111,1.13613101330604,-4.87528983089724,3.29472275530226
"FIN","ESCS",71,0.714933037961937,-8.20964599256967,5.51301091880401
"CHE","ANXMAT",0,0,NA,NA
"CHE","MATHPERS",24,0.458540313335881,-3.33805134757558,3.08251351145899
"CHE","MATHEFF",24,0.442722744881018,-3.05220728468305,-3.00019992031488
"CHE","DISCLIM",0,0,NA,NA
"CHE","GROSAGR",178,2.94360840085993,-3.67166308451916,3.38498423636518
"CHE","RELATST",19,0.286144578313253,-5.98900021122252,-3.23760480641278
"CHE","ESCS",53,0.80351728320194,-4.56884092397874,-3.03231392979351
